Year,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types
,Squad,# Pl,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def
2022,Brighton,29,38.0,1075,28.29,819,73,81,63,27,12,115,3.03,83,3,13,9,6,1
2022,Chelsea,32,38.0,859,22.61,667,66,42,42,31,11,68,1.79,57,3,2,2,4,0
2022,Crystal Palace,26,38.0,746,19.63,497,67,56,49,59,18,67,1.76,43,6,6,6,4,2
2022,Everton,28,38.0,735,19.34,493,84,39,54,45,20,59,1.55,41,5,5,2,4,2
2022,Fulham,29,38.0,751,19.76,528,78,29,54,47,15,90,2.37,56,9,5,11,7,2
2022,Leeds United,29,38.0,783,20.61,535,99,32,54,48,15,69,1.82,43,7,4,9,3,3
2022,Leicester City,28,38.0,744,19.58,540,52,50,50,38,14,87,2.29,59,2,8,8,7,3
2022,Liverpool,28,38.0,1046,27.53,778,85,56,75,33,19,129,3.39,97,9,7,8,7,1
2022,Manchester City,24,38.0,1099,28.92,826,81,53,76,49,14,168,4.42,130,7,8,9,12,2
2022,Manchester Utd,26,38.0,1051,27.66,840,58,46,63,35,9,99,2.61,79,3,8,5,4,0
2022,Newcastle Utd,27,38.0,1008,26.53,690,110,62,77,57,12,106,2.79,64,6,15,10,6,5
2022,Nott'ham Forest,33,38.0,593,15.61,416,59,31,38,36,13,54,1.42,31,5,4,11,3,0
2022,Southampton,36,38.0,718,18.89,493,77,46,51,38,13,61,1.61,35,5,7,5,6,3
2022,Tottenham,29,38.0,910,23.95,692,60,46,55,38,19,116,3.05,84,7,7,9,7,2
2022,West Ham,25,38.0,817,21.5,586,81,40,60,35,15,67,1.76,41,6,6,8,6,0
2022,Wolves,32,38.0,713,18.76,520,62,31,47,42,11,44,1.16,32,1,3,6,1,1
2023,Arsenal,25,38.0,1185,31.18,926,82,58,66,33,20,152,4.0,104,16,8,11,13,0
2023,Aston Villa,31,38.0,912,24.0,670,77,47,73,31,14,129,3.39,92,8,8,10,8,3
2023,Bournemouth,30,38.0,952,25.05,700,70,64,57,34,27,83,2.18,62,3,5,6,3,4
2023,Brentford,28,38.0,804,21.16,557,102,34,55,42,14,81,2.13,57,7,3,8,6,0
2023,Brighton,30,38.0,1010,26.58,749,87,54,71,38,11,89,2.34,59,5,9,9,6,1
2023,Burnley,31,38.0,757,19.92,549,74,49,45,31,9,74,1.95,55,6,8,2,3,0
2023,Chelsea,32,38.0,980,25.79,720,62,76,46,50,26,133,3.5,89,7,11,10,12,4
2023,Crystal Palace,26,38.0,794,20.89,554,74,48,50,45,23,103,2.71,85,4,6,2,6,0
2023,Everton,26,38.0,854,22.47,592,82,31,76,41,32,60,1.58,33,5,0,13,5,4
2023,Fulham,25,38.0,877,23.08,652,79,40,67,24,15,95,2.5,73,6,4,8,3,1
2023,Liverpool,30,38.0,1388,36.53,1045,116,66,101,43,17,131,3.45,96,8,9,10,7,1
2023,Luton Town,28,38.0,749,19.71,504,73,59,55,46,12,81,2.13,46,7,6,16,6,0
2023,Manchester City,25,38.0,1259,33.13,991,65,65,67,54,17,169,4.45,125,5,14,10,13,2
2023,Manchester Utd,31,38.0,989,26.03,743,79,55,52,38,22,98,2.58,68,4,8,7,6,5
2023,Newcastle Utd,32,38.0,983,25.87,713,69,72,67,46,16,144,3.79,90,7,18,13,13,3
2023,Nott'ham Forest,33,38.0,783,20.61,566,67,49,56,32,13,90,2.37,70,5,7,3,3,2
2023,Sheffield Utd,35,38.0,601,15.82,425,59,39,45,22,11,48,1.26,32,2,4,6,3,1
2023,Tottenham,29,38.0,1053,27.71,818,60,60,61,31,23,122,3.21,96,7,7,5,3,4
2023,West Ham,26,38.0,782,20.58,518,91,58,43,47,25,104,2.74,70,11,8,8,4,3
2023,Wolves,27,38.0,743,19.55,519,67,53,47,42,15,81,2.13,52,7,7,6,7,2
2024,Arsenal,25,38.0,969,25.5,726,82,52,64,34,11,119,3.13,86,11,6,11,4,1
2024,Aston Villa,28,38.0,849,22.34,602,85,51,58,39,14,102,2.68,80,7,3,6,4,2
2024,Bournemouth,29,38.0,1012,26.63,767,68,44,70,42,21,93,2.45,62,6,5,8,10,2
2024,Brentford,28,38.0,780,20.53,569,74,40,51,35,11,113,2.97,78,11,5,9,9,1
2024,Brighton,32,38.0,933,24.55,685,70,56,53,55,14,113,2.97,78,7,10,6,10,2
2024,Chelsea,29,38.0,1061,27.92,811,60,58,70,39,23,109,2.87,75,5,9,9,7,4
2024,Crystal Palace,29,38.0,877,23.08,633,76,33,71,48,16,89,2.34,60,8,6,8,6,1
2024,Everton,26,38.0,713,18.76,530,65,44,31,31,12,68,1.79,46,4,6,4,5,3
2024,Fulham,26,38.0,940,24.74,718,73,38,70,25,16,99,2.61,80,3,5,4,4,3
2024,Ipswich Town,32,38.0,658,17.32,458,72,51,30,33,14,58,1.53,46,2,6,2,2,0
2024,Leicester City,32,38.0,585,15.39,427,49,44,26,34,5,56,1.47,37,4,6,5,4,0
2024,Liverpool,24,38.0,1151,30.29,881,70,82,73,27,18,147,3.87,111,7,12,10,6,1
2024,Manchester City,30,38.0,1096,28.84,852,69,68,56,41,10,125,3.29,95,3,11,10,4,2
2024,Manchester Utd,31,38.0,939,24.71,711,78,38,61,36,15,70,1.84,45,4,5,6,6,4
2024,Newcastle Utd,24,38.0,938,24.68,711,73,39,53,37,25,115,3.03,94,7,3,5,4,2
2024,Nott'ham Forest,23,38.0,798,21.0,569,74,35,60,40,20,91,2.39,58,10,3,8,8,4
2024,Southampton,36,38.0,616,16.21,427,56,51,46,28,8,42,1.11,23,5,3,9,1,1
2024,Tottenham,31,38.0,875,23.03,648,67,53,59,36,12,106,2.79,79,7,8,7,4,1
2024,West Ham,27,38.0,815,21.45,582,69,48,65,34,17,67,1.76,42,5,3,13,3,1
2024,Wolves,32,38.0,756,19.89,547,57,58,36,34,24,96,2.53,77,5,7,1,2,4
