,Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
2023,Brentford,28,26.6,45.2,38,418,3420,38.0,54,38,92,51,3,3,89,2.0,58.2,56.0,42.7,98.8,505,1283,1.42,1.0,2.42,1.34,2.34,1.53,1.12,2.66,1.47,2.6
2023,Brighton,30,25.9,59.8,38,418,3420,38.0,50,36,86,45,5,6,90,3.0,56.8,52.2,41.6,93.8,864,1780,1.32,0.95,2.26,1.18,2.13,1.49,1.09,2.59,1.37,2.47
2023,Burnley,31,24.5,47.4,38,418,3420,38.0,40,30,70,37,3,3,77,7.0,40.6,38.3,29.7,68.0,727,1181,1.05,0.79,1.84,0.97,1.76,1.07,0.78,1.85,1.01,1.79
2023,Chelsea,32,24.2,58.6,38,418,3420,38.0,76,51,127,65,11,12,109,4.0,74.5,65.1,51.4,116.5,873,1615,2.0,1.34,3.34,1.71,3.05,1.96,1.35,3.31,1.71,3.06
2023,Crystal Palace,26,26.8,42.3,38,418,3420,38.0,56,43,99,52,4,4,73,2.0,48.6,45.4,38.7,84.1,506,1176,1.47,1.13,2.61,1.37,2.5,1.28,1.02,2.3,1.2,2.21
2023,Everton,26,27.1,40.8,38,418,3420,38.0,40,17,57,38,2,3,82,1.0,54.0,51.6,38.1,89.8,495,1129,1.05,0.45,1.5,1.0,1.45,1.42,1.0,2.43,1.36,2.36
2023,Fulham,25,28.4,50.6,38,418,3420,38.0,54,40,94,52,2,2,84,4.0,50.8,49.2,37.6,86.8,670,1467,1.42,1.05,2.47,1.37,2.42,1.34,0.99,2.33,1.3,2.29
2023,Liverpool,30,26.3,61.3,38,418,3420,38.0,80,60,140,74,6,9,69,5.0,87.8,80.4,63.7,144.1,924,2110,2.11,1.58,3.68,1.95,3.53,2.31,1.68,3.98,2.12,3.79
2023,Luton Town,28,26.7,42.4,38,418,3420,38.0,49,33,82,44,5,5,71,0.0,42.4,38.6,29.5,68.2,675,1113,1.29,0.87,2.16,1.16,2.03,1.12,0.78,1.89,1.02,1.79
2023,Manchester City,25,26.6,65.2,38,418,3420,38.0,94,69,163,85,9,10,53,2.0,80.5,72.9,60.2,133.1,1127,2060,2.47,1.82,4.29,2.24,4.05,2.12,1.58,3.7,1.92,3.5
2023,Manchester Utd,31,26.1,50.6,38,418,3420,38.0,57,36,93,51,6,7,83,1.0,56.5,51.0,40.1,91.0,758,1479,1.5,0.95,2.45,1.34,2.29,1.49,1.06,2.54,1.34,2.4
2023,Newcastle Utd,32,27.2,52.2,38,418,3420,38.0,83,55,138,75,8,9,79,1.0,76.0,69.0,51.3,120.3,737,1557,2.18,1.45,3.63,1.97,3.42,2.0,1.35,3.35,1.82,3.17
2023,Nott'ham Forest,33,25.7,40.6,38,418,3420,38.0,49,43,92,48,1,1,82,3.0,49.9,49.1,37.9,87.0,601,1141,1.29,1.13,2.42,1.26,2.39,1.31,1.0,2.31,1.29,2.29
2023,Sheffield Utd,35,25.7,35.8,38,418,3420,38.0,31,18,49,26,5,5,101,5.0,38.3,34.5,25.8,60.3,346,884,0.82,0.47,1.29,0.68,1.16,1.01,0.68,1.69,0.91,1.59
2023,Tottenham,29,25.2,61.6,38,418,3420,38.0,69,58,127,67,2,2,92,4.0,68.2,66.7,57.4,124.1,957,2107,1.82,1.53,3.34,1.76,3.29,1.79,1.51,3.31,1.75,3.27
2023,West Ham,26,28.3,41.1,38,418,3420,38.0,58,40,98,54,4,5,82,3.0,52.3,48.4,34.8,83.2,556,1207,1.53,1.05,2.58,1.42,2.47,1.38,0.92,2.29,1.27,2.19
2023,Wolves,27,26.6,48.9,38,418,3420,38.0,47,36,83,43,4,4,102,4.0,46.7,43.6,31.8,75.4,671,1180,1.24,0.95,2.18,1.13,2.08,1.23,0.84,2.07,1.15,1.98
2024,Arsenal,25,25.8,56.9,38,418,3420,38.0,67,55,122,65,2,2,70,6.0,59.9,58.4,45.3,103.6,852,1826,1.76,1.45,3.21,1.71,3.16,1.58,1.19,2.77,1.54,2.73
2024,Aston Villa,28,27.0,50.5,38,418,3420,38.0,56,45,101,53,3,6,76,4.0,56.1,51.3,41.7,93.0,720,1344,1.47,1.18,2.66,1.39,2.58,1.48,1.1,2.57,1.35,2.45
2024,Bournemouth,29,25.1,48.5,38,418,3420,38.0,57,41,98,51,6,7,97,3.0,64.0,58.5,43.8,102.3,754,1489,1.5,1.08,2.58,1.34,2.42,1.68,1.15,2.84,1.54,2.69
2024,Brentford,28,25.8,47.9,38,418,3420,38.0,65,44,109,60,5,6,62,1.0,59.0,54.4,42.4,96.8,598,1356,1.71,1.16,2.87,1.58,2.74,1.55,1.12,2.67,1.43,2.55
2024,Brighton,32,24.8,52.3,38,418,3420,38.0,64,41,105,57,7,7,78,3.0,58.7,53.3,40.4,93.7,816,1539,1.68,1.08,2.76,1.5,2.58,1.54,1.06,2.61,1.4,2.47
2024,Chelsea,29,23.7,57.1,38,418,3420,38.0,61,47,108,57,4,5,101,2.0,67.8,63.8,52.7,116.5,861,1595,1.61,1.24,2.84,1.5,2.74,1.78,1.39,3.17,1.68,3.07
2024,Crystal Palace,29,26.2,42.8,38,418,3420,38.0,49,38,87,46,3,4,80,4.0,60.4,57.3,46.4,103.7,510,1158,1.29,1.0,2.29,1.21,2.21,1.59,1.22,2.81,1.51,2.73
2024,Everton,26,28.0,40.9,38,418,3420,38.0,39,27,66,37,2,2,82,2.0,41.8,40.2,32.2,72.4,486,1041,1.03,0.71,1.74,0.97,1.68,1.1,0.85,1.95,1.06,1.91
2024,Fulham,26,28.1,52.3,38,418,3420,38.0,53,44,97,50,3,4,80,2.0,49.0,45.9,37.5,83.4,786,1558,1.39,1.16,2.55,1.32,2.47,1.29,0.99,2.28,1.21,2.2
2024,Ipswich Town,32,25.8,40.6,38,418,3420,38.0,35,26,61,33,2,2,93,5.0,34.4,32.8,24.2,57.0,513,935,0.92,0.68,1.61,0.87,1.55,0.9,0.64,1.54,0.86,1.5
2024,Leicester City,32,26.6,45.4,38,418,3420,38.0,33,25,58,31,2,3,87,0.0,32.6,30.4,25.1,55.5,576,1082,0.87,0.66,1.53,0.82,1.47,0.86,0.66,1.52,0.8,1.46
2024,Liverpool,24,27.2,57.7,38,418,3420,38.0,85,65,150,76,9,9,67,3.0,82.2,75.2,61.6,136.8,826,1924,2.24,1.71,3.95,2.0,3.71,2.16,1.62,3.78,1.98,3.6
2024,Manchester City,30,26.8,61.3,38,418,3420,38.0,71,51,122,68,3,4,59,2.0,68.1,64.9,54.2,119.1,1146,1944,1.87,1.34,3.21,1.79,3.13,1.79,1.43,3.22,1.71,3.13
2024,Manchester Utd,31,25.5,53.5,38,418,3420,38.0,42,29,71,38,4,4,86,3.0,52.6,49.4,39.7,89.1,697,1448,1.11,0.76,1.87,1.0,1.76,1.38,1.04,2.43,1.3,2.35
2024,Newcastle Utd,24,27.4,51.3,38,418,3420,38.0,66,50,116,61,5,6,68,1.0,63.8,59.5,46.0,105.5,759,1595,1.74,1.32,3.05,1.61,2.92,1.68,1.21,2.89,1.57,2.78
2024,Nott'ham Forest,23,26.1,41.2,38,418,3420,38.0,57,42,99,54,3,3,90,2.0,45.5,43.2,33.0,76.2,633,1125,1.5,1.11,2.61,1.42,2.53,1.2,0.87,2.07,1.14,2.0
2024,Southampton,36,25.2,48.5,38,418,3420,38.0,25,16,41,25,0,2,89,3.0,32.7,30.9,24.8,55.8,640,1127,0.66,0.42,1.08,0.66,1.08,0.86,0.65,1.51,0.81,1.47
2024,Tottenham,31,25.0,54.7,38,418,3420,38.0,61,47,108,58,3,4,72,1.0,58.8,55.7,44.4,100.1,840,1593,1.61,1.24,2.84,1.53,2.76,1.55,1.17,2.72,1.47,2.63
2024,West Ham,27,28.1,48.4,38,418,3420,38.0,43,29,72,40,3,3,82,3.0,47.0,44.7,33.9,78.6,632,1222,1.13,0.76,1.89,1.05,1.82,1.24,0.89,2.13,1.18,2.07
2024,Wolves,32,26.9,48.1,38,418,3420,38.0,53,42,95,53,0,0,79,2.0,43.7,43.7,35.4,79.1,607,1185,1.39,1.11,2.5,1.39,2.5,1.15,0.93,2.08,1.15,2.08
