,Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
2021,Aston Villa,31,26.1,46.5,38,418,3420,38.0,50,42,92,47,3,3,81,2.0,44.0,42.0,34.8,76.8,653,1300,1.32,1.11,2.42,1.24,2.34,1.16,0.92,2.08,1.1,2.02
2021,Brentford,29,25.4,44.8,38,418,3420,38.0,46,33,79,40,6,6,65,3.0,45.8,41.1,33.0,74.1,450,1189,1.21,0.87,2.08,1.05,1.92,1.21,0.87,2.07,1.08,1.95
2021,Brighton,26,26.2,54.4,38,418,3420,38.0,40,30,70,36,4,7,72,2.0,46.2,40.7,32.3,72.9,676,1547,1.05,0.79,1.84,0.95,1.74,1.21,0.85,2.06,1.07,1.92
2021,Burnley,23,28.5,40.2,38,418,3420,38.0,32,26,58,31,1,2,68,2.0,39.7,38.1,31.2,69.3,388,972,0.84,0.68,1.53,0.82,1.5,1.05,0.82,1.87,1.0,1.82
2021,Chelsea,26,27.4,61.8,38,418,3420,38.0,75,52,127,67,8,9,63,1.0,63.4,56.6,44.9,101.5,894,1967,1.97,1.37,3.34,1.76,3.13,1.67,1.18,2.85,1.49,2.67
2021,Crystal Palace,24,27.1,51.1,38,418,3420,38.0,50,31,81,44,6,8,69,1.0,46.4,40.1,31.0,71.1,592,1229,1.32,0.82,2.13,1.16,1.97,1.22,0.82,2.04,1.06,1.87
2021,Everton,33,26.7,40.0,38,418,3420,38.0,42,29,71,36,6,7,82,6.0,41.2,35.8,28.5,64.3,512,1100,1.11,0.76,1.87,0.95,1.71,1.09,0.75,1.83,0.94,1.69
2021,Leeds United,29,26.1,52.3,38,418,3420,38.0,42,26,68,37,5,5,101,3.0,44.4,40.4,31.3,71.8,671,1483,1.11,0.68,1.79,0.97,1.66,1.17,0.82,1.99,1.06,1.89
2021,Leicester City,28,26.5,52.0,38,418,3420,38.0,62,46,108,60,2,2,55,1.0,47.8,46.2,34.2,80.4,622,1356,1.63,1.21,2.84,1.58,2.79,1.26,0.9,2.16,1.22,2.12
2021,Liverpool,27,27.7,62.7,38,418,3420,38.0,94,71,165,87,7,8,50,1.0,88.7,82.7,63.5,146.2,885,2243,2.47,1.87,4.34,2.29,4.16,2.33,1.67,4.0,2.18,3.85
2021,Manchester City,26,27.0,67.9,38,418,3420,38.0,96,63,159,89,7,9,42,1.0,88.7,81.4,65.5,146.9,1145,2421,2.53,1.66,4.18,2.34,4.0,2.33,1.72,4.06,2.14,3.87
2021,Manchester Utd,29,27.2,52.7,38,418,3420,38.0,56,46,102,53,3,5,77,2.0,55.8,51.9,42.5,94.3,784,1568,1.47,1.21,2.68,1.39,2.61,1.47,1.12,2.59,1.36,2.48
2021,Newcastle Utd,29,27.5,40.4,38,418,3420,38.0,41,23,64,38,3,3,81,2.0,38.1,35.9,25.8,61.7,544,923,1.08,0.61,1.68,1.0,1.61,1.0,0.68,1.68,0.94,1.62
2021,Norwich City,28,26.2,42.9,38,418,3420,38.0,21,16,37,18,3,3,57,1.0,32.3,30.0,24.3,54.3,566,1031,0.55,0.42,0.97,0.47,0.89,0.85,0.64,1.49,0.79,1.43
2021,Southampton,25,25.7,47.7,38,418,3420,38.0,41,26,67,37,4,4,65,2.0,44.8,41.6,32.5,74.1,728,1326,1.08,0.68,1.76,0.97,1.66,1.18,0.85,2.03,1.1,1.95
2021,Tottenham,25,26.5,51.8,38,418,3420,38.0,63,50,113,58,5,5,69,1.0,61.2,57.3,47.0,104.4,791,1459,1.66,1.32,2.97,1.53,2.84,1.61,1.24,2.85,1.51,2.75
2021,Watford,30,28.4,40.7,38,418,3420,38.0,33,26,59,32,1,2,63,3.0,40.0,38.4,32.5,70.9,557,1070,0.87,0.68,1.55,0.84,1.53,1.05,0.86,1.91,1.01,1.87
2021,West Ham,25,28.2,47.9,38,418,3420,38.0,58,46,104,54,4,6,52,3.0,51.4,46.8,37.4,84.2,646,1449,1.53,1.21,2.74,1.42,2.63,1.35,0.99,2.34,1.23,2.22
2021,Wolves,26,27.3,49.5,38,418,3420,38.0,35,22,57,34,1,1,62,2.0,37.5,36.8,26.4,63.2,723,1283,0.92,0.58,1.5,0.89,1.47,0.99,0.69,1.68,0.97,1.66
2022,Arsenal,26,24.7,59.3,38,418,3420,38.0,84,64,148,81,3,4,51,0.0,71.6,68.9,53.5,122.4,824,2049,2.21,1.68,3.89,2.13,3.82,1.88,1.41,3.29,1.81,3.22
2022,Aston Villa,26,27.0,49.3,38,418,3420,38.0,49,35,84,46,3,4,80,1.0,50.3,47.2,38.8,86.0,637,1242,1.29,0.92,2.21,1.21,2.13,1.32,1.02,2.34,1.24,2.26
