Name,Position,Market Value,Year,Team
Petr Cech,Goalkeeper,€20.00m,2004,chelsea fc
Carlo Cudicini,Goalkeeper,€4.00m,2004,chelsea fc
Lenny Pidgeley,Goalkeeper,€100k,2004,chelsea fc
Yves Makabu-Makalambay,Goalkeeper,€75k,2004,chelsea fc
Ricardo Carvalho,Centre-Back,€24.50m,2004,chelsea fc
John Terry,Centre-Back,€24.00m,2004,chelsea fc
William Gallas,Centre-Back,€9.50m,2004,chelsea fc
Jiri Jarosik,Centre-Back,€6.50m,2004,chelsea fc
Robert Huth,Centre-Back,€3.50m,2004,chelsea fc
Steven Watt,Centre-Back,€50k,2004,chelsea fc
Wayne Bridge,Left-Back,€9.00m,2004,chelsea fc
Celestine Babayaro,Left-Back,€3.50m,2004,chelsea fc
Paulo Ferreira,Right-Back,€16.00m,2004,chelsea fc
Glen Johnson,Right-Back,€7.00m,2004,chelsea fc
Claude Makélélé,Defensive Midfield,€12.50m,2004,chelsea fc
Aleksey Smertin,Defensive Midfield,€6.50m,2004,chelsea fc
Nuno Morais,Defensive Midfield,€750k,2004,chelsea fc
Frank Lampard,Central Midfield,€32.00m,2004,chelsea fc
Scott Parker,Central Midfield,€11.00m,2004,chelsea fc
Tiago Mendes,Central Midfield,€10.00m,2004,chelsea fc
Anthony Grant,Central Midfield,€50k,2004,chelsea fc
Njitap Geremi,Other,€8.50m,2004,chelsea fc
Joe Cole,Attacking Midfield,€9.00m,2004,chelsea fc
Adrian Mutu,Left Winger,€11.00m,2004,chelsea fc
Arjen Robben,Right Winger,€24.00m,2004,chelsea fc
Damien Duff,Right Winger,€17.00m,2004,chelsea fc
Filipe Oliveira,Right Winger,€450k,2004,chelsea fc
Didier Drogba,Centre-Forward,€31.00m,2004,chelsea fc
Mateja Kežman,Centre-Forward,€13.50m,2004,chelsea fc
Eidur Gudjohnsen,Centre-Forward,€9.50m,2004,chelsea fc
Mikael Forssell,Centre-Forward,€7.00m,2004,chelsea fc
Tim Howard,Goalkeeper,€3.00m,2004,manchester united
Roy Carroll,Goalkeeper,€2.50m,2004,manchester united
Luke Steele,Goalkeeper,€1.50m,2004,manchester united
Ricardo,Goalkeeper,€1.00m,2004,manchester united
Rio Ferdinand,Centre-Back,€29.50m,2004,manchester united
Gabriel Heinze,Centre-Back,€14.50m,2004,manchester united
John O'Shea,Centre-Back,€5.00m,2004,manchester united
Wes Brown,Centre-Back,€4.50m,2004,manchester united
Gerard Piqué,Centre-Back,€2.30m,2004,manchester united
Jonathan Spector,Centre-Back,€1.25m,2004,manchester united
Paul McShane,Centre-Back,€100k,2004,manchester united
Mikaël Silvestre,Left-Back,€7.50m,2004,manchester united
Quinton Fortune,Left-Back,€3.00m,2004,manchester united
Kieran Richardson,Left-Back,€500k,2004,manchester united
Gary Neville,Right-Back,€7.25m,2004,manchester united
Phil Neville,Right-Back,€5.00m,2004,manchester united
Phil Bardsley,Right-Back,€75k,2004,manchester united
Eric Djemba Djemba,Defensive Midfield,€4.50m,2004,manchester united
Floribert N'Galula,Defensive Midfield,€250k,2004,manchester united
Paul Scholes,Central Midfield,€21.50m,2004,manchester united
Roy Keane,Central Midfield,€14.00m,2004,manchester united
Alan Smith,Central Midfield,€10.50m,2004,manchester united
Kléberson,Central Midfield,€5.50m,2004,manchester united
Darren Fletcher,Central Midfield,€5.50m,2004,manchester united
Liam Miller,Central Midfield,€1.75m,2004,manchester united
David Jones,Central Midfield,€400k,2004,manchester united
Ryan Giggs,Other,€19.50m,2004,manchester united
Chris Eagles,Right Winger,€500k,2004,manchester united
Ruud van Nistelrooy,Centre-Forward,€40.00m,2004,manchester united
Wayne Rooney,Centre-Forward,€31.00m,2004,manchester united
Cristiano Ronaldo,Centre-Forward,€22.80m,2004,manchester united
Louis Saha,Centre-Forward,€15.50m,2004,manchester united
Diego Forlán,Centre-Forward,€5.50m,2004,manchester united
Ole Gunnar Solskjær,Centre-Forward,€2.75m,2004,manchester united
David Bellion,Centre-Forward,€2.25m,2004,manchester united
Giuseppe Rossi,Centre-Forward,€750k,2004,manchester united
Sylvan Ebanks-Blake,Centre-Forward,€300k,2004,manchester united
Jens Lehmann,Goalkeeper,€3.15m,2004,arsenal fc
Stuart Taylor,Goalkeeper,€1.00m,2004,arsenal fc
Manuel Almunia,Goalkeeper,€900k,2004,arsenal fc
Chris Wright,Goalkeeper,€50k,2004,arsenal fc
Michael Jordan,Goalkeeper,-,2004,arsenal fc
Sol Campbell,Centre-Back,€20.50m,2004,arsenal fc
Kolo Touré,Centre-Back,€7.25m,2004,arsenal fc
Pascal Cygan,Centre-Back,€2.00m,2004,arsenal fc
Philippe Senderos,Centre-Back,€1.50m,2004,arsenal fc
Johan Djourou,Centre-Back,-,2004,arsenal fc
Ashley Cole,Left-Back,€19.50m,2004,arsenal fc
Gaël Clichy,Left-Back,€1.75m,2004,arsenal fc
Daniel Karbassiyoon,Left-Back,€150k,2004,arsenal fc
Laurén,Right-Back,€6.50m,2004,arsenal fc
Emmanuel Eboué,Right-Back,€2.20m,2004,arsenal fc
Justin Hoyte,Right-Back,€750k,2004,arsenal fc
Frank Simek,Right-Back,€75k,2004,arsenal fc
Patrick Vieira,Defensive Midfield,€35.00m,2004,arsenal fc
Gilberto Silva,Defensive Midfield,€7.00m,2004,arsenal fc
Mathieu Flamini,Defensive Midfield,€3.00m,2004,arsenal fc
Sebastian Svärd,Defensive Midfield,€700k,2004,arsenal fc
Jordan Fowler,Other,€50k,2004,arsenal fc
Cesc Fàbregas,Central Midfield,€7.50m,2004,arsenal fc
Edú Gaspar,Central Midfield,€5.75m,2004,arsenal fc
Sebastian Larsson,Central Midfield,€175k,2004,arsenal fc
Patrick Cregg,Central Midfield,-,2004,arsenal fc
Freddie Ljungberg,Other,€17.00m,2004,arsenal fc
Robert Pirès,Other,€18.50m,2004,arsenal fc
Ryan Smith,Left Winger,€50k,2004,arsenal fc
Quincy Owusu-Abeyie,Left Winger,-,2004,arsenal fc
José Antonio Reyes,Right Winger,€24.50m,2004,arsenal fc
Jermaine Pennant,Right Winger,€4.00m,2004,arsenal fc
Dennis Bergkamp,Other,€3.00m,2004,arsenal fc
Thierry Henry,Centre-Forward,€45.00m,2004,arsenal fc
Robin van Persie,Centre-Forward,€6.00m,2004,arsenal fc
Jérémie Aliadière,Centre-Forward,€1.25m,2004,arsenal fc
Arturo Lupoli,Centre-Forward,€1.25m,2004,arsenal fc
Jerzy Dudek,Goalkeeper,€4.50m,2004,liverpool fc
Chris Kirkland,Goalkeeper,€4.50m,2004,liverpool fc
Scott Carson,Goalkeeper,€1.50m,2004,liverpool fc
Paul Harrison,Goalkeeper,€125k,2004,liverpool fc
Patrice Luzi,Goalkeeper,€100k,2004,liverpool fc
Jamie Carragher,Centre-Back,€7.50m,2004,liverpool fc
Sami Hyypiä,Centre-Back,€6.75m,2004,liverpool fc
Stéphane Henchoz,Centre-Back,€3.25m,2004,liverpool fc
Josemi,Centre-Back,€3.25m,2004,liverpool fc
Mauricio Pellegrino,Centre-Back,€2.00m,2004,liverpool fc
Djimi Traoré,Centre-Back,€2.00m,2004,liverpool fc
Zak Whitbread,Centre-Back,€250k,2004,liverpool fc
John Arne Riise,Left-Back,€12.50m,2004,liverpool fc
Stephen Warnock,Left-Back,€100k,2004,liverpool fc
Steve Finnan,Right-Back,€4.00m,2004,liverpool fc
David Raven,Right-Back,€150k,2004,liverpool fc
Xabi Alonso,Defensive Midfield,€15.00m,2004,liverpool fc
Dietmar Hamann,Defensive Midfield,€5.50m,2004,liverpool fc
Salif Diao,Defensive Midfield,€5.00m,2004,liverpool fc
Igor Biscan,Defensive Midfield,€4.50m,2004,liverpool fc
Steven Gerrard,Central Midfield,€30.00m,2004,liverpool fc
John Welsh,Central Midfield,€250k,2004,liverpool fc
Darren Potter,Central Midfield,€100k,2004,liverpool fc
Richie Partridge,Other,€300k,2004,liverpool fc
Vladimir Smicer,Attacking Midfield,€3.00m,2004,liverpool fc
Harry Kewell,Left Winger,€13.00m,2004,liverpool fc
Mark Smyth,Left Winger,€50k,2004,liverpool fc
Robbie Foy,Left Winger,€50k,2004,liverpool fc
Luis García,Right Winger,€8.75m,2004,liverpool fc
Antonio Núñez,Right Winger,€1.30m,2004,liverpool fc
Florent Sinama-Pongolle,Other,€1.75m,2004,liverpool fc
Michael Owen,Centre-Forward,€22.00m,2004,liverpool fc
Djibril Cissé,Centre-Forward,€20.00m,2004,liverpool fc
Milan Baros,Centre-Forward,€17.50m,2004,liverpool fc
Fernando Morientes,Centre-Forward,€16.00m,2004,liverpool fc
Peter Crouch,Centre-Forward,€2.85m,2004,liverpool fc
Neil Mellor,Centre-Forward,€1.50m,2004,liverpool fc
Anthony Le Tallec,Centre-Forward,€1.25m,2004,liverpool fc
Paul Robinson,Goalkeeper,€7.85m,2004,tottenham hotspur
Kasey Keller,Goalkeeper,€1.00m,2004,tottenham hotspur
Radek Cerny,Goalkeeper,€600k,2004,tottenham hotspur
Márton Fülöp,Goalkeeper,€400k,2004,tottenham hotspur
Nicky Eyre,Goalkeeper,-,2004,tottenham hotspur
Ledley King,Centre-Back,€11.00m,2004,tottenham hotspur
Michael Dawson,Centre-Back,€7.00m,2004,tottenham hotspur
Noé Pamarot,Centre-Back,€3.00m,2004,tottenham hotspur
Anthony Gardner,Centre-Back,€3.00m,2004,tottenham hotspur
Noureddine Naybet,Centre-Back,€2.50m,2004,tottenham hotspur
Goran Bunjevcevic,Centre-Back,€2.40m,2004,tottenham hotspur
Reto Ziegler,Centre-Back,€2.25m,2004,tottenham hotspur
Calum Davenport,Centre-Back,€2.00m,2004,tottenham hotspur
Gary Doherty,Centre-Back,€1.80m,2004,tottenham hotspur
Mbulelo Mabizela,Centre-Back,€700k,2004,tottenham hotspur
Dean Richards,Centre-Back,-,2004,tottenham hotspur
Erik Edman,Left-Back,€3.00m,2004,tottenham hotspur
Thimothée Atouba,Left-Back,€3.00m,2004,tottenham hotspur
Mauricio Taricco,Left-Back,€2.25m,2004,tottenham hotspur
David Limbersky,Left-Back,€100k,2004,tottenham hotspur
Philip Ifil,Right-Back,€825k,2004,tottenham hotspur
Stephen Kelly,Right-Back,€125k,2004,tottenham hotspur
Michael Carrick,Defensive Midfield,€6.50m,2004,tottenham hotspur
Sean Davis,Defensive Midfield,€4.25m,2004,tottenham hotspur
Pedro Mendes,Central Midfield,€3.75m,2004,tottenham hotspur
Michael Brown,Central Midfield,€3.00m,2004,tottenham hotspur
Jamie Redknapp,Central Midfield,€3.00m,2004,tottenham hotspur
Dean Marney,Central Midfield,€600k,2004,tottenham hotspur
Johnnie Jackson,Central Midfield,€75k,2004,tottenham hotspur
Simon Davies,Other,€5.50m,2004,tottenham hotspur
Andy Reid,Other,€8.00m,2004,tottenham hotspur
Rohan Ricketts,Attacking Midfield,€250k,2004,tottenham hotspur
Mark Yeates,Left Winger,€75k,2004,tottenham hotspur
Jermain Defoe,Centre-Forward,€15.00m,2004,tottenham hotspur
Robbie Keane,Centre-Forward,€10.00m,2004,tottenham hotspur
Frédéric Kanouté,Centre-Forward,€7.50m,2004,tottenham hotspur
Mido,Centre-Forward,€7.00m,2004,tottenham hotspur
Edson Sousa,Centre-Forward,€150k,2004,tottenham hotspur
Shay Given,Goalkeeper,€7.50m,2004,newcastle united
Steve Harper,Goalkeeper,€2.00m,2004,newcastle united
Tony Caig,Goalkeeper,€500k,2004,newcastle united
Jean-Alain Boumsong,Centre-Back,€10.00m,2004,newcastle united
Titus Bramble,Centre-Back,€5.00m,2004,newcastle united
Andrew O'Brien,Centre-Back,€3.50m,2004,newcastle united
Aaron Hughes,Centre-Back,€3.50m,2004,newcastle united
Steven Taylor,Centre-Back,€1.00m,2004,newcastle united
Ronny Johnsen,Centre-Back,€350k,2004,newcastle united
Peter Ramage,Centre-Back,€50k,2004,newcastle united
Celestine Babayaro,Left-Back,€3.50m,2004,newcastle united
Olivier Bernard,Left-Back,€3.25m,2004,newcastle united
Robbie Elliott,Left-Back,€1.50m,2004,newcastle united
Stephen Carr,Right-Back,€4.50m,2004,newcastle united
Nicky Butt,Defensive Midfield,€6.00m,2004,newcastle united
Amdy Faye,Defensive Midfield,€3.50m,2004,newcastle united
Jermaine Jenas,Central Midfield,€9.00m,2004,newcastle united
James Milner,Central Midfield,€5.50m,2004,newcastle united
Lee Bowyer,Central Midfield,€4.00m,2004,newcastle united
Jamie McClen,Central Midfield,€500k,2004,newcastle united
Kieron Dyer,Other,€14.00m,2004,newcastle united
Darren Ambrose,Other,€1.75m,2004,newcastle united
Martin Brittain,Other,€50k,2004,newcastle united
Craig Bellamy,Left Winger,€9.00m,2004,newcastle united
Laurent Robert,Left Winger,€8.00m,2004,newcastle united
Charles N'Zogbia,Right Winger,€350k,2004,newcastle united
Patrick Kluivert,Centre-Forward,€7.50m,2004,newcastle united
Shola Ameobi,Centre-Forward,€6.00m,2004,newcastle united
Alan Shearer,Centre-Forward,€3.00m,2004,newcastle united
Michael Chopra,Centre-Forward,€1.50m,2004,newcastle united
Lewis Guy,Centre-Forward,€100k,2004,newcastle united
Maik Taylor,Goalkeeper,€2.00m,2004,birmingham city
Nico Vaesen,Goalkeeper,€1.25m,2004,birmingham city
Ian Bennett,Goalkeeper,€1.00m,2004,birmingham city
Colin Doyle,Goalkeeper,€50k,2004,birmingham city
Matthew Upson,Centre-Back,€5.00m,2004,birmingham city
Kenny Cunningham,Centre-Back,€3.00m,2004,birmingham city
Olivier Tébily,Centre-Back,€1.45m,2004,birmingham city
Martin Taylor,Centre-Back,€1.25m,2004,birmingham city
Mat Sadler,Centre-Back,€100k,2004,birmingham city
Sam Alsop,Centre-Back,-,2004,birmingham city
Sam Oji,Centre-Back,-,2004,birmingham city
Alex Bruce,Centre-Back,-,2004,birmingham city
Jamie Clapham,Left-Back,€2.25m,2004,birmingham city
Mario Melchiot,Right-Back,€4.25m,2004,birmingham city
Salif Diao,Defensive Midfield,€5.00m,2004,birmingham city
Robbie Savage,Defensive Midfield,€4.75m,2004,birmingham city
Mehdi Nafti,Defensive Midfield,€2.00m,2004,birmingham city
Carl Motteram,Other,-,2004,birmingham city
Darren Carter,Central Midfield,€2.25m,2004,birmingham city
Stephen Clemence,Central Midfield,€1.75m,2004,birmingham city
Damien Johnson,Central Midfield,€1.50m,2004,birmingham city
Darren Anderton,Other,€3.50m,2004,birmingham city
Muzzy Izzet,Other,€3.00m,2004,birmingham city
Peter Till,Other,-,2004,birmingham city
Stan Lazaridis,Other,€3.25m,2004,birmingham city
David Dunn,Attacking Midfield,€8.50m,2004,birmingham city
Jesper Grønkjær,Left Winger,€6.50m,2004,birmingham city
Jermaine Pennant,Right Winger,€4.00m,2004,birmingham city
Robbie Blake,Other,€2.50m,2004,birmingham city
Walter Pandiani,Centre-Forward,€10.00m,2004,birmingham city
Emile Heskey,Centre-Forward,€7.25m,2004,birmingham city
Mikael Forssell,Centre-Forward,€7.00m,2004,birmingham city
Clinton Morrison,Centre-Forward,€7.00m,2004,birmingham city
Dwight Yorke,Centre-Forward,€2.75m,2004,birmingham city
Stern John,Centre-Forward,€1.25m,2004,birmingham city
Julian Gray,Centre-Forward,€900k,2004,birmingham city
Njazi Kuqi,Centre-Forward,€600k,2004,birmingham city
Andy Barrowman,Centre-Forward,€75k,2004,birmingham city
Mark Schwarzer,Goalkeeper,€4.20m,2004,middlesbrough fc
Carlo Nash,Goalkeeper,€350k,2004,middlesbrough fc
Brad Jones,Goalkeeper,€250k,2004,middlesbrough fc
Ross Turnbull,Goalkeeper,€50k,2004,middlesbrough fc
David Knight,Goalkeeper,€50k,2004,middlesbrough fc
Ugo Ehiogu,Centre-Back,€5.50m,2004,middlesbrough fc
Gareth Southgate,Centre-Back,€5.00m,2004,middlesbrough fc
Chris Riggott,Centre-Back,€2.30m,2004,middlesbrough fc
Andrew Davies,Centre-Back,€500k,2004,middlesbrough fc
Matthew Bates,Centre-Back,€50k,2004,middlesbrough fc
David Wheater,Centre-Back,€50k,2004,middlesbrough fc
Franck Queudrue,Left-Back,€4.50m,2004,middlesbrough fc
Colin Cooper,Left-Back,€75k,2004,middlesbrough fc
Andrew Taylor,Left-Back,€50k,2004,middlesbrough fc
Michael Reiziger,Right-Back,€5.75m,2004,middlesbrough fc
Stuart Parnaby,Right-Back,€250k,2004,middlesbrough fc
Tony McMahon,Right-Back,€50k,2004,middlesbrough fc
George Boateng,Defensive Midfield,€7.00m,2004,middlesbrough fc
Doriva,Defensive Midfield,€1.75m,2004,middlesbrough fc
Ray Parlour,Central Midfield,€5.25m,2004,middlesbrough fc
Mark Wilson,Central Midfield,€1.75m,2004,middlesbrough fc
James Morrison,Central Midfield,€750k,2004,middlesbrough fc
Jason Kennedy,Central Midfield,€50k,2004,middlesbrough fc
Gaizka Mendieta,Other,€6.75m,2004,middlesbrough fc
Stewart Downing,Other,€4.00m,2004,middlesbrough fc
Boudewijn Zenden,Left Winger,€5.50m,2004,middlesbrough fc
Adam Johnson,Right Winger,-,2004,middlesbrough fc
Szilárd Németh,Other,€5.25m,2004,middlesbrough fc
Mark Viduka,Centre-Forward,€8.00m,2004,middlesbrough fc
Jimmy Floyd Hasselbaink,Centre-Forward,€6.80m,2004,middlesbrough fc
Massimo Maccarone,Centre-Forward,€6.50m,2004,middlesbrough fc
Malcolm Christie,Centre-Forward,€4.00m,2004,middlesbrough fc
Joseph-Désiré Job,Centre-Forward,€2.75m,2004,middlesbrough fc
Danny Graham,Centre-Forward,€400k,2004,middlesbrough fc
David James,Goalkeeper,€4.50m,2004,manchester city
Ronald Waterreus,Goalkeeper,€2.50m,2004,manchester city
Geert De Vlieger,Goalkeeper,€1.50m,2004,manchester city
Kevin Stuhr-Ellegaard,Goalkeeper,€1.50m,2004,manchester city
Nicky Weaver,Goalkeeper,€700k,2004,manchester city
Kasper Schmeichel,Goalkeeper,€250k,2004,manchester city
Sylvain Distin,Centre-Back,€7.50m,2004,manchester city
Richard Dunne,Centre-Back,€4.25m,2004,manchester city
David Sommeil,Centre-Back,€3.00m,2004,manchester city
Jihai Sun,Centre-Back,€2.50m,2004,manchester city
Mikkel Bischoff,Centre-Back,€1.50m,2004,manchester city
Stephen Jordan,Centre-Back,€200k,2004,manchester city
Patrick McCarthy,Centre-Back,€200k,2004,manchester city
Nedum Onuoha,Centre-Back,€25k,2004,manchester city
Ben Thatcher,Left-Back,€5.25m,2004,manchester city
Danny Mills,Right-Back,€6.00m,2004,manchester city
Paul Bosvelt,Defensive Midfield,€2.00m,2004,manchester city
Christian Negouai,Defensive Midfield,€700k,2004,manchester city
Claudio Reyna,Central Midfield,€4.50m,2004,manchester city
Joey Barton,Central Midfield,€1.75m,2004,manchester city
Willo Flood,Central Midfield,€50k,2004,manchester city
Jonathan D'Laryea,Central Midfield,-,2004,manchester city
Lee Croft,Other,€75k,2004,manchester city
Steve McManaman,Other,-,2004,manchester city
Antoine Sibierski,Attacking Midfield,€2.00m,2004,manchester city
Stephen Ireland,Attacking Midfield,-,2004,manchester city
Trevor Sinclair,Left Winger,€5.25m,2004,manchester city
Kiki Musampa,Left Winger,€2.75m,2004,manchester city
Shaun Wright-Phillips,Right Winger,€9.50m,2004,manchester city
Nicolas Anelka,Centre-Forward,€12.80m,2004,manchester city
Robbie Fowler,Centre-Forward,€4.50m,2004,manchester city
Paulo Wanchope,Centre-Forward,€4.50m,2004,manchester city
Jon Macken,Centre-Forward,€2.25m,2004,manchester city
Bradley Wright-Phillips,Centre-Forward,€300k,2004,manchester city
Antti Niemi,Goalkeeper,€4.50m,2004,southampton fc
Kasey Keller,Goalkeeper,€1.00m,2004,southampton fc
Paul Smith,Goalkeeper,€500k,2004,southampton fc
Alan Blayney,Goalkeeper,€125k,2004,southampton fc
Michael Poke,Goalkeeper,€50k,2004,southampton fc
Michael Svensson,Centre-Back,€3.00m,2004,southampton fc
Danny Higginbotham,Centre-Back,€3.00m,2004,southampton fc
Jelle Van Damme,Centre-Back,€2.25m,2004,southampton fc
Claus Lundekvam,Centre-Back,€2.15m,2004,southampton fc
Andreas Jakobsson,Centre-Back,€2.00m,2004,southampton fc
Calum Davenport,Centre-Back,€2.00m,2004,southampton fc
Alaeddine Yahia,Centre-Back,€1.40m,2004,southampton fc
Darren Kenton,Centre-Back,€1.00m,2004,southampton fc
Martin Cranie,Centre-Back,€200k,2004,southampton fc
Matt Mills,Centre-Back,€50k,2004,southampton fc
Olivier Bernard,Left-Back,€3.25m,2004,southampton fc
Graeme Le Saux,Left-Back,€650k,2004,southampton fc
Mikael Nilsson,Right-Back,€1.75m,2004,southampton fc
Jason Dodd,Right-Back,€1.25m,2004,southampton fc
Paul Telfer,Right-Back,€850k,2004,southampton fc
Anders Svensson,Defensive Midfield,€4.50m,2004,southampton fc
Chris Baird,Defensive Midfield,€750k,2004,southampton fc
Yoann Folly,Defensive Midfield,€400k,2004,southampton fc
Rory Delap,Central Midfield,€4.75m,2004,southampton fc
David Prutton,Central Midfield,€4.50m,2004,southampton fc
Jamie Redknapp,Central Midfield,€3.00m,2004,southampton fc
Nigel Quashie,Central Midfield,€2.50m,2004,southampton fc
Matt Oakley,Central Midfield,€2.25m,2004,southampton fc
Léandre Griffit,Central Midfield,€125k,2004,southampton fc
Andrew Surman,Central Midfield,€75k,2004,southampton fc
Neil McCann,Left Winger,€2.50m,2004,southampton fc
Fabrice Fernandes,Left Winger,€2.50m,2004,southampton fc
James Beattie,Centre-Forward,€10.00m,2004,southampton fc
Kevin Phillips,Centre-Forward,€5.00m,2004,southampton fc
Henri Camara,Centre-Forward,€3.50m,2004,southampton fc
Marians Pahars,Centre-Forward,€3.00m,2004,southampton fc
Peter Crouch,Centre-Forward,€2.85m,2004,southampton fc
Brett Ormerod,Centre-Forward,€2.00m,2004,southampton fc
Dexter Blackstock,Centre-Forward,€200k,2004,southampton fc
Kenwyne Jones,Centre-Forward,€50k,2004,southampton fc
Leon Best,Centre-Forward,€50k,2004,southampton fc
Thomas Sörensen,Goalkeeper,€6.50m,2004,aston villa
Stefan Postma,Goalkeeper,€1.50m,2004,aston villa
Wayne Henderson,Goalkeeper,€50k,2004,aston villa
Olof Mellberg,Centre-Back,€7.25m,2004,aston villa
Martin Laursen,Centre-Back,€6.00m,2004,aston villa
Aaron Hughes,Centre-Back,€3.50m,2004,aston villa
Václav Drobný,Centre-Back,€1.75m,2004,aston villa
Liam Ridgewell,Centre-Back,€1.00m,2004,aston villa
Jlloyd Samuel,Left-Back,€3.75m,2004,aston villa
Ulises de la Cruz,Right-Back,€3.00m,2004,aston villa
Mark Delaney,Right-Back,€1.83m,2004,aston villa
Eric Djemba Djemba,Defensive Midfield,€4.50m,2004,aston villa
Gareth Barry,Defensive Midfield,€4.25m,2004,aston villa
Mathieu Berson,Defensive Midfield,€3.50m,2004,aston villa
Thomas Hitzlsperger,Central Midfield,€4.00m,2004,aston villa
Gavin McCann,Central Midfield,€3.50m,2004,aston villa
Lee Hendrie,Central Midfield,€2.75m,2004,aston villa
Peter Whittingham,Central Midfield,€1.00m,2004,aston villa
Steven Davis,Central Midfield,€500k,2004,aston villa
Nolberto Solano,Other,€5.00m,2004,aston villa
Stephen Cooke,Other,€50k,2004,aston villa
Juan Pablo Ángel,Centre-Forward,€9.00m,2004,aston villa
Darius Vassell,Centre-Forward,€5.75m,2004,aston villa
Carlton Cole,Centre-Forward,€3.50m,2004,aston villa
Stefan Moore,Centre-Forward,€400k,2004,aston villa
Luke Moore,Centre-Forward,€350k,2004,aston villa
Richard Wright,Goalkeeper,€5.75m,2004,everton fc
Nigel Martyn,Goalkeeper,€350k,2004,everton fc
Iain Turner,Goalkeeper,€100k,2004,everton fc
Joseph Yobo,Centre-Back,€7.00m,2004,everton fc
David Weir,Centre-Back,€2.50m,2004,everton fc
Alan Stubbs,Centre-Back,€1.50m,2004,everton fc
Eddy Bosnar,Centre-Back,€250k,2004,everton fc
Alessandro Pistone,Left-Back,€4.00m,2004,everton fc
Gary Naysmith,Left-Back,€2.00m,2004,everton fc
Steve Watson,Right-Back,€3.50m,2004,everton fc
Tony Hibbert,Right-Back,€350k,2004,everton fc
Thomas Gravesen,Defensive Midfield,€6.00m,2004,everton fc
Lee Carsley,Defensive Midfield,€2.75m,2004,everton fc
Tie Li,Defensive Midfield,€1.00m,2004,everton fc
Guillaume Plessis,Defensive Midfield,€300k,2004,everton fc
Mikel Arteta,Central Midfield,€8.00m,2004,everton fc
Leon Osman,Central Midfield,€1.25m,2004,everton fc
Kevin Kilbane,Other,€3.25m,2004,everton fc
Tim Cahill,Attacking Midfield,€3.75m,2004,everton fc
James McFadden,Other,€4.00m,2004,everton fc
James Beattie,Centre-Forward,€10.00m,2004,everton fc
Duncan Ferguson,Centre-Forward,€3.50m,2004,everton fc
Kevin Campbell,Centre-Forward,€1.50m,2004,everton fc
Marcus Bent,Centre-Forward,€1.25m,2004,everton fc
Nick Chadwick,Centre-Forward,€300k,2004,everton fc
James Vaughan,Centre-Forward,€125k,2004,everton fc
Brad Friedel,Goalkeeper,€2.00m,2004,blackburn rovers
Peter Enckelman,Goalkeeper,€1.25m,2004,blackburn rovers
David Yelldell,Goalkeeper,€100k,2004,blackburn rovers
Lucas Neill,Centre-Back,€3.00m,2004,blackburn rovers
Lorenzo Amoruso,Centre-Back,€3.00m,2004,blackburn rovers
Andy Todd,Centre-Back,€2.00m,2004,blackburn rovers
Aaron Mokoena,Centre-Back,€1.50m,2004,blackburn rovers
Ryan Nelsen,Centre-Back,€1.50m,2004,blackburn rovers
Craig Short,Centre-Back,€650k,2004,blackburn rovers
Jay McEveley,Centre-Back,€400k,2004,blackburn rovers
Dominic Matteo,Left-Back,€4.50m,2004,blackburn rovers
Vratislav Gresko,Left-Back,€3.00m,2004,blackburn rovers
Nils-Eric Johansson,Left-Back,€2.75m,2004,blackburn rovers
Michael Gray,Left-Back,€2.00m,2004,blackburn rovers
Steven Reid,Right-Back,€4.25m,2004,blackburn rovers
Barry Ferguson,Defensive Midfield,€7.25m,2004,blackburn rovers
Robbie Savage,Defensive Midfield,€4.75m,2004,blackburn rovers
Tugay Kerimoğlu,Defensive Midfield,€2.00m,2004,blackburn rovers
Garry Flitcroft,Central Midfield,€4.75m,2004,blackburn rovers
David Thompson,Central Midfield,€3.85m,2004,blackburn rovers
Morten Gamst Pedersen,Central Midfield,€2.25m,2004,blackburn rovers
Paul Gallagher,Central Midfield,€1.25m,2004,blackburn rovers
Jonathan Douglas,Central Midfield,€75k,2004,blackburn rovers
Brett Emerton,Other,€4.50m,2004,blackburn rovers
Javi de Pedro,Other,€250k,2004,blackburn rovers
Youri Djorkaeff,Attacking Midfield,€300k,2004,blackburn rovers
Jemal Johnson,Left Winger,-,2004,blackburn rovers
Jon Stead,Centre-Forward,€3.00m,2004,blackburn rovers
Dwight Yorke,Centre-Forward,€2.75m,2004,blackburn rovers
Jay Bothroyd,Centre-Forward,€1.75m,2004,blackburn rovers
Paul Dickov,Centre-Forward,€1.50m,2004,blackburn rovers
Matt Jansen,Centre-Forward,€1.50m,2004,blackburn rovers
Matt Derbyshire,Centre-Forward,€75k,2004,blackburn rovers
Edwin van der Sar,Goalkeeper,€4.75m,2004,fulham fc
Mark Crossley,Goalkeeper,€1.00m,2004,fulham fc
Ross Flitney,Goalkeeper,€100k,2004,fulham fc
Zat Knight,Centre-Back,€2.75m,2004,fulham fc
Alain Goma,Centre-Back,€2.50m,2004,fulham fc
Carlos Bocanegra,Centre-Back,€2.25m,2004,fulham fc
Ian Pearce,Centre-Back,€2.00m,2004,fulham fc
Zesh Rehman,Centre-Back,€400k,2004,fulham fc
Dean Leacock,Centre-Back,€150k,2004,fulham fc
Liam Fontaine,Centre-Back,€50k,2004,fulham fc
Jérôme Bonnissel,Left-Back,€1.00m,2004,fulham fc
