Team,Squad_Size,Average_Age,Number_of_Foreigners,Average_Market_Value,Total_Market_Value,Position,Goal_Difference,Points,Year,Squad_Size_Normalized_by_Avg,Squad_Size_Normalized_by_Max,Average_Age_Normalized_by_Avg,Average_Age_Normalized_by_Max,Number_of_Foreigners_Normalized_by_Avg,Number_of_Foreigners_Normalized_by_Max,Average_Market_Value_Normalized_by_Avg,Average_Market_Value_Normalized_by_Max,Total_Market_Value_Normalized_by_Avg,Total_Market_Value_Normalized_by_Max
aston villa,26,25.2,16,3.24,84.18,10,-7,47,2004,0.7819548872180451,0.6341463414634146,0.958721704394141,0.8842105263157894,0.7881773399014778,0.5517241379310345,0.9354699003897793,0.30308699719363896,0.7212965858799638,0.2539519729697116
everton fc,26,27.5,15,2.86,74.28,4,-1,61,2004,0.7819548872180451,0.6341463414634146,1.046224082176146,0.9649122807017544,0.7389162561576355,0.5172413793103449,0.8257542947885087,0.2675397567820393,0.6364684057871669,0.22408591770242547
blackburn rovers,33,28.0,24,2.23,73.7,15,-11,42,2004,0.9924812030075187,0.8048780487804879,1.0652463382157122,0.9824561403508771,1.1822660098522166,0.8275862068965517,0.6438573697127183,0.20860617399438727,0.6314986740241546,0.2223361892120188
fulham fc,34,26.4,23,1.92,65.23,13,-8,44,2004,1.0225563909774436,0.8292682926829268,1.0043751188891001,0.9263157894736842,1.1330049261083743,0.7931034482758621,0.5543525335643136,0.1796071094480823,0.558923453278095,0.19678411970556292
portsmouth fc,37,26.6,24,1.73,64.0,16,-16,39,2004,1.112781954887218,0.9024390243902439,1.0119840213049267,0.9333333333333333,1.1822660098522166,0.8275862068965517,0.4994947307636784,0.16183348924228252,0.548384194539293,0.19307348859659706
bolton wanderers,29,28.5,20,2.19,63.58,6,5,58,2004,0.8721804511278195,0.7073170731707317,1.0842685942552786,1.0,0.9852216748768473,0.6896551724137931,0.6323083585967951,0.2048643592142189,0.5447854232626289,0.1918064438276819
charlton athletic,26,27.1,15,2.22,57.8,11,-16,46,2004,0.7819548872180451,0.6341463414634146,1.031006277344493,0.9508771929824562,0.7389162561576355,0.5172413793103449,0.6409701169337376,0.20767072029934522,0.495259475693299,0.17436949438880173
west bromwich albion,32,27.6,19,1.58,50.4,17,-25,34,2004,0.9624060150375939,0.7804878048780488,1.0500285333840593,0.968421052631579,0.9359605911330049,0.6551724137931034,0.45618593907896643,0.1478016838166511,0.43185255319969323,0.15204537226982018
crystal palace,35,25.4,17,1.1,38.53,18,-21,33,2004,1.0526315789473684,0.8536585365853658,0.9663306068099675,0.8912280701754386,0.8374384236453202,0.5862068965517241,0.31759780568788804,0.10289990645463051,0.33014442211873374,0.11623627368167008
norwich city,28,27.2,12,1.11,31.05,19,-35,33,2004,0.8421052631578947,0.6829268292682927,1.0348107285524062,0.9543859649122807,0.5911330049261083,0.41379310344827586,0.3204850584668688,0.10383536014967261,0.2660520193819539,0.0936708097019428
chelsea fc,30,25.3,21,12.11,363.43,1,50,91,2005,0.9104704097116842,0.7692307692307693,0.9596055376446047,0.8939929328621908,1.0421836228287842,0.7,3.3296673082210617,1.0,3.0265152146033545,1.0
manchester united,34,25.4,21,7.49,254.58,2,38,83,2005,1.031866464339909,0.8717948717948718,0.963398444908022,0.8975265017667844,1.0421836228287842,0.7,2.059389606818807,0.6184971098265897,2.1200512982795092,0.7004925295104972
arsenal fc,37,24.1,30,6.28,232.33,4,37,67,2005,1.1229135053110773,0.9487179487179487,0.9140906504835958,0.8515901060070672,1.488833746898263,1.0,1.7266978278801213,0.518579686209744,1.934761246481571,0.639270285887241
liverpool fc,37,24.9,27,5.85,216.35,3,32,82,2005,1.1229135053110773,0.9487179487179487,0.9444339085909349,0.8798586572438162,1.3399503722084367,0.9,1.6084685180093485,0.48307184145334436,1.801685514898153,0.5953003329389428
